ndof h rel-L2-err-B rel-H1sem-err-B
3.410000000000000000e+03 1.712469363126854424e-02 5.844514852617584966e-01 8.324935908279568197e-01
1.272200000000000000e+04 8.865889300168856846e-03 1.530002532482716837e-01 2.147343724149760602e-01
4.884200000000000000e+04 4.524840555912091125e-03 1.236805463110487828e-02 3.507873855554714815e-02
1.909940000000000000e+05 2.288179750059707480e-03 1.642222023819686497e-03 5.768073666500065505e-03
7.552430000000000000e+05 1.150685513651516102e-03 1.756934526725196534e-04 8.623090588948332516e-04
