ndof h rel-L2-err-B rel-H1sem-err-B
1.568000000000000000e+03 2.525381361380526699e-02 1.175276296629182093e+00 1.067929178870423712e+00
5.762000000000000000e+03 1.317386998566355029e-02 2.819301807606315324e-01 5.071213937616426692e-01
2.192600000000000000e+04 6.753366125657806439e-03 5.334879824340235666e-02 1.585357100846994383e-01
8.532200000000000000e+04 3.423493333310398054e-03 1.215541900269659706e-02 5.029552857412630806e-02
3.365340000000000000e+05 1.723794641076446116e-03 2.588942353771279525e-03 1.240937196991376973e-02
1.336586000000000000e+06 8.649709980735154980e-04 6.610252627558722708e-04 3.126669924279096725e-03
